timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
8.946444231,68,49.92448590681475,14,1,1.0,1.0
9.029104767,69,53.886973254742294,14,1,1.0,1.0
9.046444231,69,53.886973254742294,14,1,1.0,1.0
9.129104767,70,53.16767923264062,14,1,1.0,1.0
9.146444231,70,53.16767923264062,14,1,1.0,1.0
9.229104767,71,50.261951158920766,14,1,1.0,1.0
9.246444231,71,50.261951158920766,14,1,1.0,1.0
9.329104767,72,54.919166604509755,14,1,1.0,1.0
9.346444231,72,54.919166604509755,14,1,1.0,1.0
9.429104767,73,52.679732670237186,14,1,1.0,1.0
9.446444231,73,52.679732670237186,14,1,1.0,1.0
9.529104767,74,50.46426844221383,14,1,1.0,1.0
9.546444231,74,50.46426844221383,14,1,1.0,1.0
9.629104767,75,53.82075504596614,14,1,1.0,1.0
9.646444231,75,53.82075504596614,14,1,1.0,1.0
9.729104767,76,52.84171777524267,14,1,1.0,1.0
9.746444231,76,52.84171777524267,14,1,1.0,1.0
9.829104767,77,49.63917618545064,14,1,1.0,1.0
9.846444231,77,49.63917618545064,14,1,1.0,1.0
9.929104767,78,53.80337903933974,14,1,1.0,1.0
9.946444231,78,53.80337903933974,14,1,1.0,1.0
10.029104767,79,53.51441530699073,14,1,1.0,1.0
10.046444231,79,53.51441530699073,14,1,1.0,1.0
10.129104767,80,50.61022366724663,14,1,1.0,1.0
10.146444231,80,50.61022366724663,14,1,1.0,1.0
10.229104767,81,52.77344157424126,14,1,1.0,1.0
10.246444231,81,52.77344157424126,14,1,1.0,1.0
10.329104767,82,52.01228225705971,14,1,1.0,1.0
10.346444231,82,49.617688085603376,14,1,1.0,1.0
10.429104767,83,52.526181166145676,14,1,1.0,1.0
10.446444231,83,53.89876691525267,14,1,1.0,1.0
10.529104767,84,53.05544527757227,14,1,1.0,1.0
10.546444231,84,52.981771148382336,14,1,1.0,1.0
10.629104767,85,54.738275775665784,14,1,1.0,1.0
10.646444231,85,54.738275775665784,14,1,1.0,1.0
10.729104767,86,48.855934505330325,14,1,1.0,1.0
10.746444231,86,48.855934505330325,14,1,1.0,1.0
10.829104767,87,53.12586615738315,14,1,1.0,1.0
10.846444231,87,53.12586615738315,14,1,1.0,1.0
10.929104767,88,54.58372722763393,14,1,1.0,1.0
10.946444231,88,54.58372722763393,14,1,1.0,1.0
11.029104767,89,48.76508147473447,14,1,1.0,1.0
11.046444231,89,48.76508147473447,14,1,1.0,1.0
11.129104767,90,52.46579016267912,14,1,1.0,1.0
11.146444231,90,52.46579016267912,14,1,1.0,1.0
11.229104767,91,54.501368024783936,14,1,1.0,1.0
11.246444231,91,54.501368024783936,14,1,1.0,1.0
11.329104767,92,51.12798799831254,14,1,1.0,1.0
11.346444231,92,51.12798799831254,14,1,1.0,1.0
11.429104767,93,52.06026711020905,14,1,1.0,1.0
