timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr,success
26.329104767,242,180184.4344542264,14,2,0.0,0.0,1
26.429104767,243,180184.4344542264,14,2,0.0,0.0,1
26.529104767,244,180184.4344542264,14,2,0.0,0.0,1
26.629104767,245,180184.4344542264,14,2,0.0,0.0,1
26.729104767,246,180184.4344542264,14,2,0.0,0.0,1
26.829104767,247,180184.4344542264,14,2,0.0,0.0,1
26.929104767,248,180184.4344542264,14,2,0.0,0.0,1
27.029104767,249,180184.4344542264,14,2,0.0,0.0,1
27.129104767,250,180184.4344542264,14,2,0.0,0.0,1
27.229104767,251,180184.4344542264,14,2,0.0,0.0,1
27.329104767,252,180184.4344542264,14,2,0.0,0.0,1
27.429104767,253,180184.4344542264,14,2,0.0,0.0,1
27.529104767,254,180184.4344542264,14,2,0.0,0.0,1
27.629104767,255,180184.4344542264,14,2,0.0,0.0,1
27.729104767,256,180184.4344542264,14,2,0.0,0.0,1
27.829104767,257,180184.4344542264,14,2,0.0,0.0,1
27.929104767,258,180184.4344542264,14,2,0.0,0.0,1
28.029104767,259,180184.4344542264,14,2,0.0,0.0,1
28.129104767,260,180184.4344542264,14,2,0.0,0.0,1
28.229104767,261,180184.4344542264,14,2,0.0,0.0,1
28.329104767,262,180184.4344542264,14,2,0.0,0.0,1
28.429104767,263,180184.4344542264,14,2,0.0,0.0,1
28.529104767,264,180184.4344542264,14,2,0.0,0.0,1
28.629104767,265,180184.4344542264,14,2,0.0,0.0,1
28.729104767,266,180184.4344542264,14,2,0.0,0.0,1
28.829104767,267,180184.4344542264,14,2,0.0,0.0,1
28.929104767,268,180184.4344542264,14,2,0.0,0.0,1
29.029104767,269,180184.4344542264,14,2,0.0,0.0,1
29.129104767,270,180184.4344542264,14,2,0.0,0.0,1
29.229104767,271,180184.4344542264,14,2,0.0,0.0,1
29.329104767,272,180184.4344542264,14,2,0.0,0.0,1
29.429104767,273,180184.4344542264,14,2,0.0,0.0,1
29.529104767,274,180184.4344542264,14,2,0.0,0.0,1
29.629104767,275,180184.4344542264,14,2,0.0,0.0,1
29.729104767,276,180184.4344542264,14,2,0.0,0.0,1
29.829104767,277,180184.4344542264,14,2,0.0,0.0,1
29.929104767,278,180184.4344542264,14,2,0.0,0.0,1
30.029104767,279,180184.4344542264,14,2,0.0,0.0,1
30.129104767,280,180184.4344542264,14,2,0.0,0.0,1
30.229104767,281,180184.4344542264,14,2,0.0,0.0,1
30.329104767,282,180184.4344542264,14,2,0.0,0.0,1
30.429104767,283,180184.4344542264,14,2,0.0,0.0,1
30.529104767,284,180184.4344542264,14,2,0.0,0.0,1
30.629104767,285,180184.4344542264,14,2,0.0,0.0,1
30.729104767,286,180184.4344542264,14,2,0.0,0.0,1
30.829104767,287,180184.4344542264,14,2,0.0,0.0,1
30.929104767,288,180184.4344542264,14,2,0.0,0.0,1
31.029104767,289,180184.4344542264,14,2,0.0,0.0,1
31.129104767,290,180184.4344542264,14,2,0.0,0.0,1
31.229104767,291,180184.4344542264,14,2,0.0,0.0,1
31.329104767,292,180184.4344542264,14,2,0.0,0.0,1
31.429104767,293,180184.4344542264,14,2,0.0,0.0,1
31.529104767,294,180184.4344542264,14,2,0.0,0.0,1
31.629104767,295,180184.4344542264,14,2,0.0,0.0,1
31.729104767,296,180184.4344542264,14,2,0.0,0.0,1
31.829104767,297,180184.4344542264,14,2,0.0,0.0,1
31.929104767,298,180184.4344542264,14,2,0.0,0.0,1
32.029104767,299,180184.4344542264,14,2,0.0,0.0,1
32.129104767,300,180184.4344542264,14,2,0.0,0.0,1
32.229104767,301,180184.4344542264,14,2,0.0,0.0,1
32.329104767,302,180184.4344542264,14,2,0.0,0.0,1
32.429104767,303,180184.4344542264,14,2,0.0,0.0,1
32.529104767,304,180184.4344542264,14,2,0.0,0.0,1
32.629104767,305,180184.4344542264,14,2,0.0,0.0,1
32.729104767,306,180184.4344542264,14,2,0.0,0.0,1
32.829104767,307,180184.4344542264,14,2,0.0,0.0,1
32.929104767,308,180184.4344542264,14,2,0.0,0.0,1
33.029104767,309,180184.4344542264,14,2,0.0,0.0,1
33.129104767,310,180184.4344542264,14,2,0.0,0.0,1
33.229104767,311,180184.4344542264,14,2,0.0,0.0,1
33.329104767,312,180184.4344542264,14,2,0.0,0.0,1
33.429104767,313,180184.4344542264,14,2,0.0,0.0,1
33.529104767,314,180184.4344542264,14,2,0.0,0.0,1
33.629104767,315,180184.4344542264,14,2,0.0,0.0,1
33.729104767,316,180184.4344542264,14,2,0.0,0.0,1
33.829104767,317,180184.4344542264,14,2,0.0,0.0,1
33.929104767,318,180184.4344542264,14,2,0.0,0.0,1
34.029104767,319,180184.4344542264,14,2,0.0,0.0,1
34.129104767,320,180184.4344542264,14,2,0.0,0.0,1
34.229104767,321,180184.4344542264,14,2,0.0,0.0,1
34.329104767,322,180184.4344542264,14,2,0.0,0.0,1
34.429104767,323,180184.4344542264,14,2,0.0,0.0,1
34.529104767,324,180184.4344542264,14,2,0.0,0.0,1
34.629104767,325,180184.4344542264,14,2,0.0,0.0,1
34.729104767,326,180184.4344542264,14,2,0.0,0.0,1
34.829104767,327,180184.4344542264,14,2,0.0,0.0,1
34.929104767,328,180184.4344542264,14,2,0.0,0.0,1
35.029104767,329,180184.4344542264,14,2,0.0,0.0,1
35.129104767,330,180184.4344542264,14,2,0.0,0.0,1
35.229104767,331,180184.4344542264,14,2,0.0,0.0,1
35.329104767,332,180184.4344542264,14,2,0.0,0.0,1
35.429104767,333,180184.4344542264,14,2,0.0,0.0,1
35.529104767,334,180184.4344542264,14,2,0.0,0.0,1
35.629104767,335,180184.4344542264,14,2,0.0,0.0,1
35.729104767,336,180184.4344542264,14,2,0.0,0.0,1
35.829104767,337,180184.4344542264,14,2,0.0,0.0,1
35.929104767,338,180184.4344542264,14,2,0.0,0.0,1
36.029104767,339,180184.4344542264,14,2,0.0,0.0,1
36.129104767,340,180184.4344542264,14,2,0.0,0.0,1
36.229104767,341,180184.4344542264,14,2,0.0,0.0,1
36.329104767,342,180184.4344542264,14,2,0.0,0.0,1
36.429104767,343,180184.4344542264,14,2,0.0,0.0,1
36.529104767,344,180184.4344542264,14,2,0.0,0.0,1
36.629104767,345,180184.4344542264,14,2,0.0,0.0,1
36.729104767,346,180184.4344542264,14,2,0.0,0.0,1
36.829104767,347,180184.4344542264,14,2,0.0,0.0,1
36.929104767,348,180184.4344542264,14,2,0.0,0.0,1
37.029104767,349,180184.4344542264,14,2,0.0,0.0,1
37.129104767,350,180184.4344542264,14,2,0.0,0.0,1
37.229104767,351,180184.4344542264,14,2,0.0,0.0,1
37.329104767,352,180184.4344542264,14,2,0.0,0.0,1
37.429104767,353,180184.4344542264,14,2,0.0,0.0,1
37.529104767,354,180184.4344542264,14,2,0.0,0.0,1
37.629104767,355,180184.4344542264,14,2,0.0,0.0,1
37.729104767,356,180184.4344542264,14,2,0.0,0.0,1
37.829104767,357,180184.4344542264,14,2,0.0,0.0,1
37.929104767,358,180184.4344542264,14,2,0.0,0.0,1
38.029104767,359,180184.4344542264,14,2,0.0,0.0,1
38.129104767,360,180184.4344542264,14,2,0.0,0.0,1
38.229104767,361,180184.4344542264,14,2,0.0,0.0,1
38.329104767,362,180184.4344542264,14,2,0.0,0.0,1
38.429104767,363,180184.4344542264,14,2,0.0,0.0,1
